iter	RMSE
0	3.011923554
1	2.914734079
2	2.82594364
3	2.749502111
4	2.68466263
5	2.625343936
6	2.572290698
7	2.526060213
8	2.482041866
9	2.446338039
10	2.414540386
11	2.383741625
12	2.357049406
13	2.333599204
14	2.31292198
15	2.296186895
16	2.281560464
17	2.266755538
18	2.252946911
19	2.241452256
20	2.231203728
21	2.221291525
22	2.212103739
23	2.203214291
24	2.19550726
25	2.188241398
26	2.181224092
27	2.175102779
28	2.169443261
29	2.164080482
30	2.159576003
31	2.155335134
32	2.151279009
33	2.148078562
34	2.144078978
35	2.14096849
36	2.13786746
37	2.134756652
38	2.132117332
39	2.129879703
40	2.12737227
41	2.12526608
42	2.123043659
43	2.120761945
44	2.118901746
45	2.11696008
46	2.11540352
47	2.113445999
48	2.111570445
49	2.110085877
50	2.108664925
51	2.107238558
52	2.105883216
53	2.104581211
54	2.102871023
55	2.101064304
56	2.099989051
57	2.098293881
58	2.097698072
59	2.09625264
60	2.095202177
61	2.093903261
62	2.093291708
63	2.092563314
64	2.091423568
65	2.090298522
66	2.089402518
67	2.088478103
68	2.087243901
69	2.086586955
70	2.085576043
71	2.084856721
72	2.084098497
73	2.083659968
74	2.082907293
75	2.082173358
76	2.081438897
77	2.080849822
78	2.080367139
79	2.079501364
80	2.07879783
81	2.07797177
82	2.077445465
83	2.076936413
84	2.076326428
85	2.075904569
86	2.075393585
87	2.074946833
88	2.074151247
89	2.073476331
90	2.072771059
91	2.072351776
92	2.071666127
93	2.071151111
94	2.070553282
95	2.070129417
96	2.06942743
97	2.068933625
98	2.06836859
99	2.06804949
100	2.06722634
101	2.06700357
102	2.066491867
103	2.065756378
104	2.065192793
105	2.064833075
106	2.064418
107	2.064051951
108	2.063610788
109	2.063052211
110	2.06268607
111	2.062222466
112	2.061710143
113	2.061213171
114	2.060784768
115	2.060584979
116	2.06021404
117	2.059878606
118	2.059588777
119	2.059154978
120	2.05885099
121	2.05862163
122	2.058298511
123	2.057687349
124	2.057419449
125	2.056911301
126	2.056435424
127	2.056206751
128	2.05601721
129	2.0556522
130	2.055049277
131	2.054802995
132	2.054637991
133	2.054627894
134	2.054308143
135	2.054079135
136	2.053720312
137	2.053298414
138	2.053107379
139	2.052950965
140	2.052809602
141	2.052464545
142	2.051958877
143	2.051634645
144	2.051245634
145	2.050838831
146	2.050505787
147	2.049996401
148	2.049660717
149	2.049173719
150	2.04877305
151	2.048618464
152	2.048326287
153	2.048020849
154	2.047720065
155	2.047474811
156	2.047123734
157	2.046993886
158	2.046605309
159	2.046324321
160	2.046111503
161	2.045645828
162	2.045203417
163	2.044802921
164	2.044220324
165	2.043963374
166	2.043561933
167	2.043347966
168	2.042997734
169	2.042659485
170	2.042329644
171	2.041863833
172	2.041477334
173	2.041036157
174	2.040581976
175	2.04027972
176	2.039964597
177	2.039572009
178	2.039286153
179	2.039023226
180	2.038678686
181	2.038319531
182	2.03801135
183	2.037645371
184	2.037308423
185	2.036791506
186	2.036383519
187	2.036086496
188	2.035986627
189	2.035693825
190	2.035317373
191	2.034997209
192	2.034886084
193	2.034612482
194	2.03432479
195	2.033860964
196	2.033462713
197	2.033146555
198	2.032901863
199	2.032762789
200	2.032641093
201	2.032205652
202	2.032107478
203	2.032013085
204	2.031786288
205	2.031252208
206	2.030972401
207	2.03071862
208	2.03027993
209	2.029902482
210	2.029660093
211	2.029362495
212	2.02895618
213	2.02849985
214	2.028351789
215	2.028039939
216	2.02775035
217	2.027587926
218	2.027277908
219	2.027199762
220	2.026722411
221	2.02643525
222	2.02601272
223	2.02576284
224	2.025489608
225	2.025114286
226	2.024871377
227	2.024696802
228	2.024628897
229	2.02447028
230	2.024252757
231	2.024048805
232	2.02401826
233	2.023831421
234	2.023517103
235	2.023387483
236	2.023260531
237	2.02301332
238	2.022695333
239	2.022633653
240	2.022309082
241	2.022049017
242	2.021728532
243	2.021455847
244	2.021182273
245	2.020845293
246	2.020613579
247	2.020386411
248	2.020162757
249	2.019791904
250	2.019529939
251	2.019244478
252	2.019181789
253	2.019175247
254	2.018955674
255	2.018799834
256	2.018565612
257	2.018535553
258	2.018344291
259	2.018089556
260	2.018028012
261	2.017808185
262	2.017534355
263	2.017317246
264	2.017110121
265	2.017023903
266	2.016855015
267	2.016581448
268	2.016420533
269	2.016418089
270	2.016221612
271	2.016220171
272	2.015950314
273	2.015757387
274	2.015481233
275	2.015276032
276	2.014938216
277	2.014669069
278	2.014529098
279	2.014334338
280	2.013984126
281	2.013796305
282	2.013666608
283	2.01351875
284	2.013166546
285	2.013092768
286	2.012849272
287	2.012617715
288	2.012615723
289	2.012405125
290	2.012063005
291	2.011885357
292	2.011577584
293	2.011446172
294	2.011322753
295	2.011078163
296	2.010828484
297	2.010576639
298	2.010390971
299	2.010279974
300	2.010099817
301	2.009855374
302	2.009595856
303	2.009324718
304	2.009122104
305	2.008830609
306	2.008520376
307	2.008223828
308	2.007908838
309	2.007845504
310	2.007542169
311	2.007317691
312	2.007266926
313	2.006895903
314	2.006746968
315	2.006476636
316	2.006243126
317	2.00613118
318	2.006021292
319	2.005793845
320	2.005511558
321	2.005264864
322	2.004921904
323	2.004716003
324	2.004523509
325	2.004459819
326	2.004425051
327	2.0041455
328	2.003858213
329	2.003536199
330	2.003230104
331	2.002918689
332	2.002700361
333	2.002502042
334	2.00227444
335	2.002200989
336	2.002040207
337	2.001855242
338	2.001715269
339	2.001426406
340	2.001197567
341	2.00103219
342	2.000795927
343	2.000530759
344	2.000307992
345	2.000131324
346	1.999912027
347	1.999702802
348	1.999490369
349	1.999328368
350	1.999056911
351	1.998806285
352	1.998614656
353	1.998459566
354	1.998282359
355	1.998226531
356	1.997945245
357	1.997886652
358	1.997743942
359	1.997439946
360	1.997201319
361	1.996939802
362	1.996773937
363	1.996611588
364	1.99645622
365	1.996144334
366	1.996099024
367	1.996068023
368	1.99580895
369	1.995653893
370	1.995529189
371	1.995340216
372	1.995154114
373	1.99498826
374	1.994902943
375	1.994872192
376	1.994588499
377	1.994304904
378	1.994122548
379	1.994001882
380	1.993730017
381	1.993488493
382	1.993305044
383	1.993137346
384	1.992902787
385	1.99285699
386	1.992829435
387	1.992699527
388	1.992471344
389	1.992270201
390	1.992039518
391	1.991851995
392	1.991595758
393	1.991454096
394	1.991200049
395	1.990977759
396	1.990950715
397	1.990666194
398	1.990438516
399	1.990426021
400	1.990216867
401	1.990046814
402	1.989809282
403	1.989596313
404	1.989439322
405	1.989253706
406	1.989140453
407	1.988894073
408	1.98874581
409	1.988564884
410	1.988343719
411	1.988298239
412	1.988116827
413	1.987881004
414	1.987843006
415	1.987658622
416	1.987454376
417	1.987296098
418	1.987267108
419	1.987265303
420	1.987102918
421	1.987079368
422	1.986956255
423	1.986741752
424	1.98649905
425	1.986340538
426	1.986139614
427	1.985945141
428	1.985941538
429	1.985685798
430	1.985445953
431	1.985281775
432	1.985167507
433	1.984960887
434	1.984891312
435	1.984637811
436	1.98443945
437	1.984402635
438	1.984254222
439	1.984046414
440	1.983883941
441	1.98366264
442	1.983338272
443	1.983320375
444	1.983192204
445	1.983017315
446	1.982980752
447	1.982770201
448	1.982584889
449	1.982356246
450	1.982128218
451	1.982084634
452	1.981940596
453	1.981723592
454	1.981533997
455	1.98137651
456	1.981218029
457	1.981019133
458	1.980777327
459	1.980618499
460	1.980328221
461	1.98016706
462	1.979988228
463	1.979799419
464	1.979743369
465	1.979616285
466	1.979436021
467	1.979411097
468	1.979287882
469	1.979012643
470	1.978876211
471	1.978674769
472	1.978491552
473	1.978237287
474	1.978140839
475	1.978106169
476	1.977946505
477	1.977722215
478	1.977712083
479	1.977489471
480	1.977393563
481	1.977189356
482	1.977055746
483	1.976855812
484	1.976671157
485	1.976573085
486	1.97637974
487	1.976361299
488	1.976153829
489	1.975992738
490	1.975780902
491	1.975517646
492	1.975509329
493	1.975352019
494	1.975266048
495	1.975104771
496	1.975018168
497	1.974886922
498	1.974745611
499	1.974621834
500	1.974373645
501	1.974178236
502	1.974163017
503	1.973918878
504	1.973691141
505	1.973540922
506	1.973410984
507	1.973409207
508	1.973228621
509	1.973012431
510	1.972975472
511	1.97285484
512	1.972635698
513	1.972620403
514	1.97247786
515	1.972274819
516	1.97209813
517	1.971994853
518	1.971879496
519	1.971853191
520	1.971654136
521	1.971519091
522	1.971358653
523	1.971137452
524	1.971130558
525	1.97097099
526	1.970806347
527	1.970660206
528	1.970532534
529	1.970396565
530	1.970185802
531	1.970094135
532	1.969977686
533	1.969760853
534	1.969574406
535	1.96935144
536	1.969145929
537	1.968974966
538	1.968812024
539	1.968713253
540	1.968579735
541	1.968400772
542	1.968250916
543	1.968087609
544	1.967924641
545	1.967797685
546	1.967649229
547	1.967464914
548	1.967294103
549	1.967135284
550	1.967091145
551	1.966958647
552	1.966695034
553	1.966482964
554	1.966320635
555	1.966197812
556	1.966071859
557	1.965946673
558	1.965782408
559	1.965636059
560	1.965513518
561	1.965317288
562	1.965136332
563	1.965015328
564	1.964872279
565	1.964687989
566	1.96451333
567	1.964371783
568	1.96425295
569	1.964074454
570	1.964043095
571	1.963925603
572	1.963787241
573	1.963617659
574	1.963395571
575	1.963252892
576	1.963131569
577	1.962905833
578	1.962824631
579	1.962684841
580	1.962488359
581	1.962338117
582	1.96214508
583	1.961983133
584	1.961857796
585	1.961734137
586	1.961641634
587	1.961609772
588	1.961439118
589	1.961311367
590	1.961146164
591	1.961081026
592	1.960942243
593	1.960778612
594	1.960740922
595	1.96054309
596	1.960360823
597	1.960322551
598	1.960165923
599	1.960052285
600	1.96000571
601	1.959822443
602	1.959663518
603	1.959572173
604	1.959544442
605	1.959289444
606	1.959124819
607	1.958959772
608	1.958870958
609	1.958766258
610	1.958593749
611	1.958417944
612	1.958281613
613	1.958200236
614	1.958053799
615	1.957958783
616	1.957713673
617	1.957503108
618	1.957309523
619	1.957229743
620	1.957094775
621	1.95696527
622	1.956796417
623	1.956578118
624	1.956447029
625	1.956294763
626	1.956080262
627	1.955947854
628	1.95591384
629	1.955685012
630	1.955652762
631	1.955547614
632	1.955350812
633	1.955207838
634	1.954981773
635	1.95480163
636	1.954622499
637	1.954510816
638	1.954293162
639	1.954177993
640	1.954067788
641	1.95385365
642	1.95369497
643	1.953575581
644	1.95333249
645	1.953304818
646	1.953212251
647	1.95313178
648	1.9530543
649	1.952913128
650	1.95280973
651	1.952674204
652	1.952554947
653	1.952392595
654	1.952163719
655	1.951947169
656	1.951874828
657	1.951678409
658	1.951549945
659	1.951417027
660	1.951216729
661	1.951051817
662	1.950929722
663	1.950778588
664	1.950690775
665	1.950598608
666	1.950511384
667	1.950347613
668	1.950233816
669	1.950049269
670	1.950034314
671	1.949900707
672	1.949785989
673	1.949662416
674	1.949505287
675	1.949459661
676	1.949357649
677	1.949206115
678	1.948951297
679	1.948827988
680	1.948668383
681	1.948501347
682	1.948452104
683	1.948402599
684	1.948295172
685	1.948139068
686	1.94802295
687	1.947904056
688	1.947760001
689	1.947575402
690	1.947376503
691	1.947221628
692	1.946953645
693	1.946837267
694	1.946756509
695	1.946649217
696	1.946583965
697	1.946439821
698	1.946330235
699	1.946187715
700	1.946129218
701	1.945934777
702	1.945833014
703	1.945565314
704	1.945458948
705	1.945315317
706	1.9451574
707	1.94500625
708	1.944832406
709	1.94457845
710	1.944444915
711	1.944280143
712	1.944174865
713	1.944159095
714	1.943998766
715	1.94380415
